CXCR4 Enamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWISSADME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODE,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
CUEN-477,N[C@H]1CCCc2c1cccc2,C10H13N,147.22,11,6,0.4,0,1,1,46.58,26.02,1.85,1.72,1.7,2.1,2.23,1.92,-2.24,0.847,0.00575,Soluble,-1.88,1.93,0.0131,Very soluble,-2.9,0.187,0.00127,Soluble,High,Yes,No,No,No,No,No,No,-5.98,0,1,0,0,2,0.55,0,0,1,1.84
CUEN-138,N[C@H]1CCCc2c1cccc2,C10H13N,147.22,11,6,0.4,0,1,1,46.58,26.02,1.85,1.72,1.7,2.1,2.23,1.92,-2.24,0.847,0.00575,Soluble,-1.88,1.93,0.0131,Very soluble,-2.9,0.187,0.00127,Soluble,High,Yes,No,No,No,No,No,No,-5.98,0,1,0,0,2,0.55,0,0,1,1.84
CUEN-756,NCC1(CCC1)c1ncccc1C,C11H16N2,176.26,13,6,0.55,2,2,1,53.87,38.91,1.88,1.4,1.77,1.46,2.68,1.84,-2.02,1.67,0.00945,Soluble,-1.82,2.66,0.0151,Very soluble,-3.55,0.0494,0.000281,Soluble,High,Yes,Yes,No,No,No,No,No,-6.38,0,0,0,0,1,0.55,0,0,1,1.9
CUEN-7575,OC[C@@H]1CCc2c([C@@H]1N)cccc2,C11H15NO,177.24,13,6,0.45,1,2,2,52.55,46.25,1.61,1.33,0.92,1.46,1.6,1.39,-2.05,1.57,0.00886,Soluble,-1.9,2.22,0.0125,Very soluble,-2.51,0.544,0.00307,Soluble,High,Yes,No,No,No,No,No,No,-6.44,0,0,0,0,1,0.55,0,0,1,2.38
CUEN-892,NCC1CCc2c(N1)cccc2,C10H14N2,162.23,12,6,0.4,1,1,2,53.86,38.05,1.76,1.42,0.8,1.44,1.61,1.41,-2.04,1.46,0.00903,Soluble,-1.82,2.43,0.015,Very soluble,-3.08,0.134,0.000824,Soluble,High,Yes,No,Yes,No,No,No,No,-6.28,0,0,0,0,1,0.55,0,0,1,2.13
CUEN-969,NCCC1CCc2c1cccc2,C11H15N,161.24,12,6,0.45,2,1,1,51.39,26.02,2.11,1.97,2.07,2.39,2.61,2.23,-2.32,0.774,0.0048,Soluble,-2.14,1.16,0.00721,Soluble,-3.44,0.0591,0.000366,Soluble,High,Yes,No,No,No,No,Yes,No,-5.88,0,0,0,0,2,0.55,0,0,1,2
CUEN-190,NCC1(CCCC1)c1ccccn1,C11H16N2,176.26,13,6,0.55,2,2,1,53.71,38.91,1.97,1.58,1.85,1.46,2.47,1.87,-2.14,1.28,0.00728,Soluble,-2.01,1.73,0.00982,Soluble,-3.44,0.0634,0.00036,Soluble,High,Yes,Yes,No,No,No,No,No,-6.25,0,0,0,0,1,0.55,0,0,1,1.8
CUEN-755,NCC1CCc2c(O1)cccc2,C10H13NO,163.22,12,6,0.4,1,2,1,48.11,35.25,2.06,1.41,1.34,1.44,1.93,1.64,-2.04,1.47,0.00903,Soluble,-1.75,2.87,0.0176,Very soluble,-2.77,0.275,0.00169,Soluble,High,Yes,No,No,No,No,No,No,-6.29,0,0,0,0,1,0.55,0,0,1,2.38
CUEN-598,NCCC1CCc2c(C1)cccc2,C12H17N,175.27,13,6,0.5,2,1,1,56.2,26.02,2.28,2.43,2.14,2.67,2.87,2.48,-2.67,0.377,0.00215,Soluble,-2.62,0.421,0.0024,Soluble,-3.72,0.0332,0.000189,Soluble,High,Yes,No,No,No,No,Yes,No,-5.64,0,0,0,0,2,0.55,0,0,1,2.07
CUEN-659,C[C@@H](c1nc2c([nH]1)cccc2)N,C9H11N3,161.2,12,9,0.22,1,2,2,48.57,54.7,1.35,0.87,1.26,0.75,1.76,1.2,-1.88,2.14,0.0133,Very soluble,-1.6,4.02,0.025,Very soluble,-2.98,0.17,0.00105,Soluble,High,Yes,No,No,No,No,No,No,-6.67,0,0,0,0,1,0.55,0,0,1,2.06
CUEN-599,NCc1nc2c([nH]1)cccc2C,C9H11N3,161.2,12,9,0.22,1,2,2,48.73,54.7,1.31,0.75,1.18,0.75,2.06,1.21,-1.8,2.55,0.0158,Very soluble,-1.48,5.36,0.0333,Very soluble,-3.33,0.0749,0.000465,Soluble,High,Yes,No,Yes,No,No,No,No,-6.75,0,0,0,0,1,0.55,0,0,1,1.58
CUEN-628,Cc1cccnc1C1CNCC1,C10H14N2,162.23,12,6,0.5,1,2,1,53.19,24.92,2.06,1.01,1.09,1.17,2.46,1.56,-1.79,2.65,0.0164,Very soluble,-1.12,12.2,0.0754,Very soluble,-3.33,0.0755,0.000466,Soluble,High,Yes,No,No,No,No,No,No,-6.57,0,0,0,0,1,0.55,0,0,1,2.24
CUEN-587,NCCc1cccc2c1nccc2,C11H12N2,172.23,13,10,0.18,2,2,1,54.22,38.91,1.76,1.45,1.74,1.51,2.4,1.77,-2.26,0.95,0.00551,Soluble,-1.87,2.31,0.0134,Very soluble,-4.15,0.0123,0.0000714,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.32,0,0,0,0,1,0.55,0,0,1,1.26
CUEN-554,CC(c1nc2c([nH]1)cccc2)N,C9H11N3,161.2,12,9,0.22,1,2,2,48.57,54.7,1.31,0.87,1.26,0.75,1.76,1.19,-1.88,2.14,0.0133,Very soluble,-1.6,4.02,0.025,Very soluble,-2.98,0.17,0.00105,Soluble,High,Yes,No,No,No,No,No,No,-6.67,0,0,0,0,1,0.55,0,0,1,2.06
CUEN-047,NCc1ccc2c(n1)NCCC2,C9H13N3,163.22,12,6,0.44,1,2,2,51.81,50.94,1.3,0.45,0.17,0.66,1.5,0.82,-1.44,5.93,0.0364,Very soluble,-1.09,13.3,0.0817,Very soluble,-2.94,0.187,0.00114,Soluble,High,No,Yes,No,No,No,No,No,-6.98,0,0,0,0,1,0.55,0,0,1,2.05
CUEN-209,NCCC1Cc2c(N1)cccc2,C10H14N2,162.23,12,6,0.4,2,1,2,53.86,38.05,1.78,1.42,0.8,1.44,1.68,1.43,-1.98,1.70E+00,1.05E-02,Very soluble,-1.82,2.43E+00,1.50E-02,Very soluble,-3.21,1.00E-01,6.18E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.28,0,0,0,0,1,0.55,0,0,1,2.05
CUEN-997,NCc1nc2c([nH]1)ccc(c2)F,C8H8FN3,165.17,12,9,0.12,1,3,2,43.73,54.7,1.2,0.48,1.43,0.87,2.02,1.2,-1.66,3.65E+00,2.21E-02,Very soluble,-1.2,1.05E+01,6.34E-02,Very soluble,-3.23,9.79E-02,5.93E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.97,0,0,0,0,1,0.55,0,0,1,1.82
CUEN-574,CC(c1nc2c([nH]1)cccc2)O,C9H10N2O,162.19,12,9,0.22,1,2,2,47.03,48.91,1.43,1.13,1.29,0.75,2,1.32,-2.05,1.46E+00,8.99E-03,Soluble,-1.75,2.88E+00,1.77E-02,Very soluble,-2.76,2.81E-01,1.73E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.49,0,0,0,0,1,0.55,0,0,1,2.14
CUEN-037,NC(=N)C1CCCc2c1cccc2,C11H14N2,174.24,13,6,0.36,1,1,2,54.98,49.87,1.61,1.79,2.04,2.18,2.17,1.96,-2.32,8.27E-01,4.75E-03,Soluble,-2.46,6.10E-01,3.50E-03,Soluble,-3.01,1.72E-01,9.86E-04,Soluble,High,Yes,No,No,No,No,No,No,-6.09,0,0,0,0,1,0.55,0,2,1,2.29
